product_id,product_title,rating,total_reviews,price,top_reviews
itm9ce88307f4033,"Apple iPhone 16 Pro (Black Titanium, 256 GB)",4.6,141,"₹1,15,900","5 Classy product Awesome and superb! Upgraded from iPhone 12 to 16pro after 4 years. Display is awesome and bigger , the bezel is much slimmer , dedicated camera control feature  with swipe feature  and changes of exposure is superb and quick. Lighter weight even. Overall an excellent one . Definitely can  go for it 🫶👍🤍 READ MORE Dhruba jyoti Barman Certified Buyer , Numaligarh Refinery Township 11 months ago 2323 974 Permalink Report Abuse || 5 Just wow! Almost DSLR-level photos in my pocket 📸😍 READ MORE Flipkart Customer Certified Buyer , Goalpara 1 month ago 42 10 Permalink Report Abuse"
itm4397c54ec56b7,"Apple iPhone 16 Pro (Natural Titanium, 128 GB)",4.6,141,"₹1,12,900","5 Classy product Awesome and superb! Upgraded from iPhone 12 to 16pro after 4 years. Display is awesome and bigger , the bezel is much slimmer , dedicated camera control feature  with swipe feature  and changes of exposure is superb and quick. Lighter weight even. Overall an excellent one . Definitely can  go for it 🫶👍🤍 READ MORE Dhruba jyoti Barman Certified Buyer , Numaligarh Refinery Township 11 months ago 2323 974 Permalink Report Abuse || 5 Just wow! Almost DSLR-level photos in my pocket 📸😍 READ MORE Flipkart Customer Certified Buyer , Goalpara 1 month ago 42 10 Permalink Report Abuse"
itm35f749ba5d1ea,"Apple iPhone 16 Pro (White Titanium, 256 GB)",4.6,141,"₹1,22,900","5 Classy product Awesome and superb! Upgraded from iPhone 12 to 16pro after 4 years. Display is awesome and bigger , the bezel is much slimmer , dedicated camera control feature  with swipe feature  and changes of exposure is superb and quick. Lighter weight even. Overall an excellent one . Definitely can  go for it 🫶👍🤍 READ MORE Dhruba jyoti Barman Certified Buyer , Numaligarh Refinery Township 11 months ago 2323 974 Permalink Report Abuse || 5 Just wow! Almost DSLR-level photos in my pocket 📸😍 READ MORE Flipkart Customer Certified Buyer , Goalpara 1 month ago 42 10 Permalink Report Abuse"
itm5a8453e89cbd4,"Apple iPhone 16 Pro (Desert Titanium, 128 GB)",4.6,141,"₹1,12,900","5 Classy product Awesome and superb! Upgraded from iPhone 12 to 16pro after 4 years. Display is awesome and bigger , the bezel is much slimmer , dedicated camera control feature  with swipe feature  and changes of exposure is superb and quick. Lighter weight even. Overall an excellent one . Definitely can  go for it 🫶👍🤍 READ MORE Dhruba jyoti Barman Certified Buyer , Numaligarh Refinery Township 11 months ago 2287 946 Permalink Report Abuse || 5 Just wow! Almost DSLR-level photos in my pocket 📸😍 READ MORE Flipkart Customer Certified Buyer , Goalpara 1 month ago 33 7 Permalink Report Abuse"
